LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
-23.22799,-45.86699,2020,2,1,4.05
-23.22799,-45.86699,2020,2,2,3.2
-23.22799,-45.86699,2020,2,3,2.95
-23.22799,-45.86699,2020,2,4,4.22
-23.22799,-45.86699,2020,2,5,4.32
-23.22799,-45.86699,2020,2,6,5.56
-23.22799,-45.86699,2020,2,7,5.8
-23.22799,-45.86699,2020,2,8,7.42
-23.22799,-45.86699,2020,2,9,6.09
-23.22799,-45.86699,2020,2,10,1.81
-23.22799,-45.86699,2020,2,11,3.14
-23.22799,-45.86699,2020,2,12,3.08
-23.22799,-45.86699,2020,2,13,5.97
-23.22799,-45.86699,2020,2,14,6.47
-23.22799,-45.86699,2020,2,15,7.34
-23.22799,-45.86699,2020,2,16,4.8
-23.22799,-45.86699,2020,2,17,7.01
-23.22799,-45.86699,2020,2,18,7.06
-23.22799,-45.86699,2020,2,19,6.57
-23.22799,-45.86699,2020,2,20,5.8
-23.22799,-45.86699,2020,2,21,1.96
-23.22799,-45.86699,2020,2,22,2.58
-23.22799,-45.86699,2020,2,23,3.17
-23.22799,-45.86699,2020,2,24,5.46
-23.22799,-45.86699,2020,2,25,6.01
-23.22799,-45.86699,2020,2,26,2.19
-23.22799,-45.86699,2020,2,27,2.57
-23.22799,-45.86699,2020,2,28,2.48
-23.22799,-45.86699,2020,2,29,4.12
-23.22799,-45.86699,2020,3,1,2.87
-23.22799,-45.86699,2020,3,2,2.93
-23.22799,-45.86699,2020,3,3,5.13
-23.22799,-45.86699,2020,3,4,4.41
-23.22799,-45.86699,2020,3,5,7.01
-23.22799,-45.86699,2020,3,6,6.78
-23.22799,-45.86699,2020,3,7,6.39
-23.22799,-45.86699,2020,3,8,5.56
-23.22799,-45.86699,2020,3,9,6.74
-23.22799,-45.86699,2020,3,10,6.85
-23.22799,-45.86699,2020,3,11,6.81
-23.22799,-45.86699,2020,3,12,6.63
-23.22799,-45.86699,2020,3,13,5.9
-23.22799,-45.86699,2020,3,14,6.25
-23.22799,-45.86699,2020,3,15,6.04
-23.22799,-45.86699,2020,3,16,6.51
-23.22799,-45.86699,2020,3,17,5.58
-23.22799,-45.86699,2020,3,18,6.65
-23.22799,-45.86699,2020,3,19,3.73
-23.22799,-45.86699,2020,3,20,2.57
-23.22799,-45.86699,2020,3,21,2.97
-23.22799,-45.86699,2020,3,22,5.92
-23.22799,-45.86699,2020,3,23,6.6
-23.22799,-45.86699,2020,3,24,6
-23.22799,-45.86699,2020,3,25,6.5
-23.22799,-45.86699,2020,3,26,6.61
-23.22799,-45.86699,2020,3,27,6.36
-23.22799,-45.86699,2020,3,28,5.17
-23.22799,-45.86699,2020,3,29,3.89
-23.22799,-45.86699,2020,3,30,5.39
-23.22799,-45.86699,2020,3,31,4.6
-23.22799,-45.86699,2020,4,1,5.24
-23.22799,-45.86699,2020,4,2,6.07
-23.22799,-45.86699,2020,4,3,4.17
-23.22799,-45.86699,2020,4,4,5.58
-23.22799,-45.86699,2020,4,5,6.02
-23.22799,-45.86699,2020,4,6,6.06
-23.22799,-45.86699,2020,4,7,2.03
-23.22799,-45.86699,2020,4,8,2.22
-23.22799,-45.86699,2020,4,9,5.75
-23.22799,-45.86699,2020,4,10,5.88
-23.22799,-45.86699,2020,4,11,4.3
-23.22799,-45.86699,2020,4,12,4.66
-23.22799,-45.86699,2020,4,13,5.12
-23.22799,-45.86699,2020,4,14,3.53
-23.22799,-45.86699,2020,4,15,3.99
-23.22799,-45.86699,2020,4,16,2.84
-23.22799,-45.86699,2020,4,17,1.84
-23.22799,-45.86699,2020,4,18,4.18
-23.22799,-45.86699,2020,4,19,5.03
-23.22799,-45.86699,2020,4,20,5.22
-23.22799,-45.86699,2020,4,21,5.43
-23.22799,-45.86699,2020,4,22,4.58
-23.22799,-45.86699,2020,4,23,4.81
-23.22799,-45.86699,2020,4,24,5.05
-23.22799,-45.86699,2020,4,25,5.37
-23.22799,-45.86699,2020,4,26,5.39
-23.22799,-45.86699,2020,4,27,5.18
-23.22799,-45.86699,2020,4,28,5.03
-23.22799,-45.86699,2020,4,29,5.25
-23.22799,-45.86699,2020,4,30,4.69
-23.22799,-45.86699,2020,5,1,4.68
-23.22799,-45.86699,2020,5,2,2.65
-23.22799,-45.86699,2020,5,3,3.88
-23.22799,-45.86699,2020,5,4,4.58
-23.22799,-45.86699,2020,5,5,4.9
